
1,7,9,エーブブレーン,1994101795,牡7,55,榎伸彦,1:47.7,,,,,---,2,542(-6),,,,[地] 笹川福光,（株）レーシングホー,300.0
2,1,1,ミスズトニーオー,1993100328,牡8,55,森川一二,1:47.8,1/2,,,,---,4,488(+4),,,,[地] 高橋道雄,永井啓弍,90.0
3,5,6,ハイテンションパル,1996102810,牡5,55,長谷川太,1:48.4,3,,,,---,3,490(+2),,,,[地] 堀川勝盛,山口総業株,33.0
4,5,5,スリーパーク,1993100325,セ8,55,熊木良介,1:48.5,3/4,,,,---,7,468(-4),,,,[地] 高橋道雄,スズカ商事株,15.0
5,3,3,セカンドゲス,1995109032,牡6,55,酒井忍,1:49.0,2.1/2,,,,---,1,528(+13),,,,[地] 河内義昭,前田晋二,12.0
6,6,7,シャダヴァン,1992110319,牡9,55,五十嵐剛,1:49.1,クビ,,,,---,9,494(+8),,,,[地] 村松保信,長谷川正衞,
7,6,8,テツノセンゴクオー,1992104808,牡9,55,山田信大,1:49.2,3/4,,,,---,6,532(-8),,,,[地] 横山稔,金城道夫,
8,2,2,ヘイアンクラウン,1996103274,牡5,55,渡辺正治,1:49.5,1.1/2,,,,---,5,496(+8),,,,[地] 中沢勇喜,小林正喜,
9,8,12,フドオー,1994106638,牡7,55,宮下康一,1:49.6,クビ,,,,---,11,530(+6),,,,[地] 津野総夫,大迫忍,
10,4,4,タイキブレイズ,1995108158,セ6,55,大枝幹也,1:49.7,3/4,,,,---,8,504(+2),,,,[地] 佐藤忠雄,此村芳男,
11,7,10,アロートゥスズカ,1990101608,牡11,55,大沢健司,1:52.0,大,,,,---,9,480(+2),,,,[地] 高橋道雄,永井啓弍,
12,8,11,タマモリズム,1993109373,牡8,55,山口高,1:54.6,大,,,,---,12,490(+2),,,,[地] 関口賢三,タマモ株,
