
1,6,11,アルコセニョーラ,2004104875,牝4,52,武士沢友,1:57.5,,**,14-12,33.7,49.1,16,430(+4),,,,[東] 畠山重則,中村政勝,"4,364.4"
2,4,7,マイネルキッツ,2003100738,牡5,55,後藤浩輝,1:57.8,2,**,5-5,34.4,5.8,2,486(-6),,,,[東] 国枝栄,サラブレッドクラブ・ラフィアン,"1,718.4"
3,3,5,トウショウシロッコ,2003105155,牡5,55,木幡初広,1:57.9,3/4,**,11-9,34.3,40.8,14,476(-12),,,,[東] 大久保洋,トウショウ産業,"1,109.2"
4,2,4,ミストラルクルーズ,2003102460,牡5,54,柴田善臣,1:57.9,ハナ,**,17-18,33.8,19.1,8,498(+12),,,,[東] 鈴木康弘,サンデーレーシング,650.0
5,4,8,フサイチアソート,2005102469,牡3,53,村田一誠,1:58.1,1.1/2,**,9-9,34.3,24.0,11,450(+16),,,,[東] 岩戸孝樹,関口房朗,430.0
6,3,6,バトルバニヤン,2004102878,牡4,56,中舘英二,1:58.4,1.3/4,**,3-3,35.2,8.7,3,486(+6),,,,[西] 池江泰郎,津村靖志,
7,5,10,コスモプラチナ,2003105723,牝5,52,石橋脩,1:58.5,1/2,**,3-3,35.2,21.3,9,424(0),,,,[西] 宮徹,ビッグレッドファーム,
8,8,17,トウショウヴォイス,2002104938,牡6,54,田中勝春,1:58.5,ハナ,**,11-12,34.7,10.8,4,480(+2),,,,[東] 小桧山悟,トウショウ産業,
9,5,9,ミヤビランベリ,2003105321,牡5,55,吉田豊,1:58.7,1,**,2-2,35.5,22.6,10,492(-4),,,,[西] 加藤敬二,村上義勝,
10,7,14,スクールボーイ,2000102182,牡8,49,伊藤直人,1:59.0,1.3/4,**,14-15,34.9,103.4,18,502(+4),,,,[東] 小林常泰,後藤繁樹,
11,8,16,サンレイジャスパー,2002107509,牝6,54,佐藤哲三,1:59.1,クビ,**,17-16,34.8,16.1,7,478(0),,,,[西] 高橋成忠,永井啓弍,
12,7,13,ヤマニンアラバスタ,2001102124,牝7,54,江田照男,1:59.1,クビ,**,11-12,35.2,47.5,15,456(-8),,,,[東] 星野忍,土井肇,
13,6,12,タマモサポート,2003100496,牡5,56,津村明秀,1:59.3,1.1/4,**,5-5,35.9,30.2,13,478(-4),,,,[西] 藤岡健一,タマモ,
14,1,2,チョウサン,2002107108,牡6,58,内田博幸,1:59.5,1.1/4,**,7-7,36.0,15.6,6,502(+10),,,,[東] 清水利章,長山尚義,
15,8,18,エリモハリアー,2000100030,セ8,57.5,武幸四郎,1:59.6,1/2,**,9-9,35.8,14.4,5,456(+6),,,,[西] 田所秀孝,山本敏晴,
16,1,1,ブラックカフェ,2000101304,牡8,53,蛯名正義,2:00.0,2.1/2,**,16-16,35.8,96.9,17,492(0),,,,[東] 小島太,西川光一,
17,7,15,キャッチータイトル,2003102900,牝5,51,小野次郎,2:00.0,クビ,**,7-7,36.3,28.8,12,482(-14),,,,[東] 田村康仁,サンデーレーシング,
18,2,3,ダイシングロウ,2004105779,牡4,56,川田将雅,2:00.4,2.1/2,**,1-1,37.2,2.9,1,506(+4),,,,[西] 松田博資,大八木信行,
