
1,3,5,トップガンジョー,2002102310,牡4,57,後藤浩輝,1:57.2,,**,13-13,33.9,9.2,6,500(0),,,,[東] 和田正道,河内孝夫,"4,365.1"
2,4,8,サンレイジャスパー,2002107509,牝4,51,佐藤哲三,1:57.2,クビ,**,10-9,34.1,7.4,4,464(0),,,,[西] 高橋成忠,永井啓弍,"1,718.6"
3,8,16,ヴィータローザ,2000101691,牡6,58,上村洋行,1:57.3,クビ,**,6-5,34.5,18.5,9,468(-4),,,,[西] 橋口弘次,サンデーレーシング,"1,109.3"
4,8,18,スウィフトカレント,2001103189,牡5,57,福永祐一,1:57.4,3/4,**,15-15,34.0,3.4,1,476(-8),,,,[西] 森秀行,社台レースホース,650.0
5,5,10,ヤマニンアラバスタ,2001102124,牝5,55,柴田善臣,1:57.6,1.1/2,**,8-8,34.7,13.2,7,452(-2),,,,[東] 星野忍,土井肇,430.0
6,6,12,オースミグラスワン,2002103901,牡4,57,四位洋文,1:57.6,ハナ,**,10-11,34.2,5.9,2,532(-2),,,,[西] 安藤正敏,オースミ,
7,8,17,トリリオンカット,2000110053,牡6,53,小野次郎,1:57.8,1.1/2,**,2-2,35.3,105.5,13,458(-2),,,,[西] 音無秀孝,キャロットファーム,
8,5,9,エイシンニーザン,2002102698,牡4,53,蛯名正義,1:57.9,クビ,**,8-9,34.8,9.1,5,500(+6),,,,[西] 坂口正則,平井豊光,
9,7,13,ヤマニンメルベイユ,2002102259,牝4,53,勝浦正樹,1:58.1,1,**,6-5,35.3,13.8,8,468(-12),,,,[東] 栗田博憲,土井肇,
10,2,3,ニシノナースコール,2002100167,牝4,52,吉田豊,1:58.1,クビ,**,14-13,34.8,6.1,3,442(+8),,,,[東] 尾形充弘,西山茂行,
11,2,4,サイドワインダー,1998106117,牡8,58,長谷川浩,1:58.5,2.1/2,**,17-17,34.2,55.4,11,506(-2),,,,[西] 瀬戸口勉,協栄,
12,3,6,ナイキゲルマン,2000110178,牡6,52,石崎隆之,1:58.7,1.1/2,**,16-16,34.7,435.7,17,490(0),,,,[東] 古賀史生,小野誠治,
13,6,11,アサクサキニナル,1999110020,牡7,54,田中勝春,1:58.8,クビ,**,12-11,35.5,82.0,12,488(-2),,,,[東] 松山康久,田原源一郎,
14,1,2,ロードフラッグ,1997105482,セ9,53,武士沢友,1:59.1,2,**,4-5,36.1,267.0,15,458(-2),,,,[東] 伊藤正徳,ロードホースクラブ,
15,4,7,シャーディーナイス,1999105279,牡7,49,大野拓弥,1:59.6,3,**,1-1,37.0,350.6,16,538(-6),,,,[東] 谷原義明,戸部洋,
16,7,15,ダイワレイダース,1999106778,牡7,57,大西直宏,1:59.9,2,**,4-3,37.3,47.8,10,482(+18),,,,[東] 松山康久,大城敬三,
17,7,14,タガノマイバッハ,1999106936,牡7,56,中舘英二,2:00.4,3,**,2-3,37.7,124.4,14,468(-10),,,,[西] 松田博資,八木良司,
除,1,1,ソーユアフロスト,2001104257,牡5,54,田中学,,,**,,,---,,532(+2),,,,[東] 勢司和浩,臼田浩義,
