
1,1,1,トーワトレジャー,1997105241,牝5,51,田中勝春,1:58.0,,,3-3,34.0,5.9,2,464(-8),,,,[西] 橋田満,齋藤すゞ,"4,355.3"
2,3,4,アグネススペシャル,1997103521,牡5,54,蛯名正義,1:58.2,1.1/4,,6-5,34.1,3.8,1,440(+2),,,,[東] 小島太,渡辺孝男,"1,715.8"
3,6,11,ダービーレグノ,1998101349,牡4,54,郷原洋司,1:58.3,1/2,,8-8,34.0,20.9,9,458(+4),,,,[西] 高橋成忠,ダービー社,"1,107.9"
4,4,6,チョウカイリョウガ,1996107240,牡6,52,大西直宏,1:58.3,クビ,,11-11,33.8,13.4,7,490(0),,,,[東] 中野隆良,平田牧場,650.0
5,2,2,エイシンワンシャン,1996100115,牝6,52,村田一誠,1:58.4,3/4,,3-3,34.5,6.0,3,484(+2),,,,[西] 坂口正則,平井豊光,430.0
6,8,15,ロードフォレスター,1998110239,牡4,54,田嶋翔,1:58.4,ハナ,,14-14,33.7,22.0,10,492(-8),,,,[東] 大江原哲,ロードホースクラブ,
7,7,13,アメリカンボス,1995108602,牡7,58.5,江田照男,1:58.7,1.3/4,,11-11,34.2,10.9,6,486(+2),,,,[東] 田子冬樹,畔蒜不動産,
8,7,12,タイキブライドル,1995108149,牡7,56,北村宏司,1:58.7,クビ,,11-11,34.2,29.3,11,494(0),,,,[東] 伊藤正徳,大樹ファーム,
9,6,10,ダンディラッシュ,1996100409,牡6,51,坂井千明,1:58.8,3/4,,8-8,34.6,15.8,8,452(0),,,,[西] 土門一美,勝野憲明,
10,5,9,ウインマーベラス,1997106283,牡5,55,熊沢重文,1:58.9,1/2,,5-5,34.8,10.2,5,468(+2),,,,[西] 森秀行,ウイン,
11,2,3,エアスマップ,1995108938,牡7,57,柴田善臣,1:59.0,1/2,,6-5,34.9,6.7,4,486(-4),,,,[東] 藤沢和雄,ラッキーフィールド,
12,4,7,シンボリビンテージ,1995108256,牡7,51,小林久晃,1:59.3,1.3/4,,15-15,34.4,58.4,14,464(0),,,,[東] 石毛善彦,シンボリ牧場,
13,3,5,サイレントセイバー,1995107850,牡7,54,高山太郎,1:59.5,1.1/4,,8-8,35.3,50.3,12,460(+4),,,,[東] 佐藤全弘,社台レースホース,
14,5,8,メジロロンザン,1996107052,牡6,51,吉田豊,1:59.7,1,,2-2,35.9,67.5,15,480(0),,,,[東] 大久保洋,メジロ牧場,
15,8,14,エーピーグリード,1995102540,牡7,53,田中剛,1:59.7,ハナ,,1-1,36.3,57.0,13,504(+8),,,,[東] 矢野照正,デルマークラブ,
