
1,5,6,ヤマニンアラバスタ,2001102124,牝4,52,江田照男,2:00.1,,,7-7,33.3,6.3,3,456(+6),,,,[東] 星野忍,土井肇,"4,343.4"
2,7,10,グラスボンバー,2000101646,牡5,55,勝浦正樹,2:00.5,2.1/2,,9-9,33.3,8.8,5,478(0),,,,[東] 尾形充弘,半沢,"1,712.4"
3,1,1,ヴィータローザ,2000101691,牡5,57.5,安藤勝己,2:00.5,アタマ,,10-10,33.2,6.9,4,478(+4),,,,[西] 橋口弘次,サンデーレーシング,"1,106.2"
4,2,2,アグネスシラヌイ,1998101514,牡7,54,中舘英二,2:00.5,アタマ,,4-5,34.0,10.6,7,476(+4),,,,[西] 白井寿昭,渡辺孝男,650.0
5,4,4,エリモマキシム,1999106137,セ6,56,福永祐一,2:00.6,クビ,,11-10,33.3,9.9,6,478(0),,,,[西] 坂口正則,山本菊一,430.0
6,5,5,チャクラ,2000105531,牡5,57.5,柴田善臣,2:00.6,ハナ,,4-2,34.4,18.9,8,474(+4),,,,[西] 安達昭夫,田所英子,
7,3,3,ハレルヤサンデー,1998101497,牡7,55,柴山雄一,2:00.9,2,,7-7,34.0,27.7,9,458(-4),,,,[東] 松山康久,社台レースホース,
8,6,8,ダイワレイダース,1999106778,牡6,57,後藤浩輝,2:00.9,ハナ,,4-5,34.4,3.2,1,464(-2),,,,[東] 松山康久,大城敬三,
9,8,12,ヒカルドウキセイ,2001103326,牝4,50,吉田豊,2:01.0,1/2,,12-12,33.5,29.6,10,442(0),,,,[東] 栗田博憲,高橋京子,
10,6,7,フォーカルポイント,2001103269,牡4,55,田中勝春,2:01.1,1/2,,2-3,34.7,5.3,2,484(0),,,,[東] 河野通文,社台レースホース,
11,8,11,エイシンハリマオー,1998102551,牡7,55,村田一誠,2:01.3,1.1/4,,2-3,34.8,86.9,11,456(0),,,,[西] 坂口正則,平井豊光,
12,7,9,タニノエタニティ,1998104123,牡7,54,大西直宏,2:01.6,2,,1-1,35.5,96.6,12,496(+4),,,,[西] 松田国英,谷水雄三,
