
1,1,1,サンプレイス,1995107833,牡6,56,熊沢重文,1:57.0,,,3-3,34.4,2.3,1,476(+6),,,,[西] 池江泰郎,社台レースホース,"4,346.9"
2,7,11,エアスマップ,1995108938,牡6,56,柴田善臣,1:57.2,1.1/4,,5-5,34.5,8.2,3,488(-8),,,,[東] 藤沢和雄,ラッキーフィールド,"1,713.4"
3,5,6,ミヤギロドリゴ,1994105487,牡7,53,大西直宏,1:57.5,2,,9-10,34.5,23.4,10,540(+4),,,,[東] 高市圭二,菅原光博,"1,106.7"
4,8,13,ダイワテキサス,1993105076,牡8,59,北村宏司,1:57.6,クビ,,12-12,34.4,6.2,2,474(+2),,,,[東] 増沢末夫,大和商事,650.0
5,3,3,ブリリアントロード,1995104721,牡6,56.5,山田和広,1:57.6,ハナ,,5-5,34.8,10.2,4,462(+2),,,,[西] 坪正直,大沢毅,430.0
6,4,4,シンコウシングラー,1995100687,牡6,53,江田照男,1:57.9,2,,11-10,34.9,34.5,11,462(+2),,,,[東] 栗田博憲,飯田政子,
7,4,5,ゲイリートマホーク,1996110135,セ5,56.5,郷原洋司,1:58.2,1.3/4,,1-1,35.8,10.8,5,472(+6),,,,[東] 秋山雅一,東京サラブレッドビューロー,
8,2,2,ゴールデンレリーフ,1994109328,セ7,51,後藤浩輝,1:58.3,1/2,,5-5,35.5,17.2,8,470(-2),,,,[西] 増本豊,東京サラブレッドビューロー,
9,5,7,プレジオ,1998110209,牡3,52,岡部幸雄,1:58.4,3/4,,5-5,35.5,16.4,7,424(0),,,,[東] 藤沢和雄,横山秀男,
10,6,9,サイレントセイバー,1995107850,牡6,55,田中勝春,1:58.5,1/2,,2-2,36.1,18.7,9,458(-2),,,,[東] 佐藤全弘,社台レースホース,
11,7,10,ダイワオーシュウ,1994106333,牡7,55,小林淳一,1:58.7,1.1/4,,12-12,35.5,38.0,12,456(0),,,,[東] 二ノ宮敬,大和商事,
12,8,12,ツジノワンダー,1996102955,牡5,55,木幡初広,1:58.8,1/2,,9-9,35.9,14.0,6,504(0),,,,[東] 清水美波,辻本正男,
13,6,8,メジロロンザン,1996107052,牡5,53,吉田豊,1:59.0,1.1/4,,3-3,36.4,39.1,13,472(-6),,,,[東] 大久保洋,メジロ牧場,
