
1,8,11,エビスヤマト,1995100902,牡6,55,小嶋耕輝,1:48.2,,,,,---,1,412(+9),,,,[地] 赤間亨,岩本五郎,300.0
2,6,7,アービルシーザー,1995101196,牡6,55,榎伸彦,1:48.6,2,,,,---,3,484(-2),,,,[地] 横山稔,此村與市,90.0
3,2,2,インターパレード,1995102414,牡6,55,五十嵐剛,1:48.9,1.1/2,,,,---,2,456(0),,,,[地] 飯泉之男,山田武雄,33.0
4,4,4,ヒダカリージェント,1993100480,牡8,55,宮下康一,1:49.7,4,,,,---,7,500(+18),,,,[地] 津野総夫,大迫忍,15.0
5,7,9,セントブライト,1997106471,牡4,55,熊木良介,1:49.8,クビ,,,,---,5,476(-2),,,,[地] 松川史朗,有前田総業,12.0
6,3,3,ヤシロビックボーイ,1997103936,牡4,55,小野輝彦,1:49.9,3/4,,,,---,6,496(-2),,,,[地] 赤間松次,伊藤利喜男,
7,5,6,エビスシューター,1994100496,牡7,55,向山牧,1:50.1,1,,,,---,8,470(-8),,,,[地] 津野総夫,大迫忍,
8,7,10,マイショウパーク,1997105442,牝4,53,長谷川太,1:50.9,4,,,,---,11,462(+4),,,,[地] 赤間亨,佐竹儀一,
9,6,8,ゼンノマッキンリー,1997105754,セ4,55,上村尚寛,1:51.1,1,,,,---,9,434(+8),,,,[地] 津野総夫,大迫忍,
10,8,12,ナモンレグラス,1994109332,牡7,55,渡辺正治,1:51.5,2,,,,---,4,516(0),,,,[地] 松川史朗,株南原商事,
11,1,1,シャダヴァン,1992110319,牡9,55,阿部正義,1:51.7,3/4,,,,---,12,476(-2),,,,[地] 村松保信,（有）長伸,
12,5,5,アイレムエナジー,1996102620,牡5,55,根岸良昌,1:52.8,6,,,,---,10,450(0),,,,[地] 赤間松次,高嶋哲,
