
2016/07/31,2新潟2,晴,11,アイビスサマーD(G3),,13,8,12,19.7,5,6,石橋脩,56,芝1000,良,**,0:54.7,0.6,**,,32.8-31.9,31.7,502(+10),,,ベルカント,
2016/06/19,1函館2,晴,11,函館スプリントS(G3),,16,7,13,36.8,11,9,三浦皇成,56,芝1200,良,**,1:08.4,0.6,**,9-11,33.4-34.4,34.2,492(+4),,,ソルヴェイグ,
2016/04/10,3中山6,曇,11,春雷S(OP),,16,4,8,12.1,3,9,柴山雄一,58,芝1200,良,**,1:08.4,0.8,**,11-12,33.9-33.7,33.6,488(-6),,,エイシンスパルタン,
2016/03/27,2中京6,曇,11,高松宮記念(G1),,18,7,14,198.9,17,10,バルジュ,57,芝1200,良,**,1:07.4,0.7,**,12-12,32.7-34.0,33.5,494(-4),,,ビッグアーサー,
2016/01/31,2京都2,晴,11,シルクロードS(G3),,16,6,11,16.5,6,11,川田将雅,57,芝1200,稍,**,1:08.9,1.0,**,11-12,33.7-34.2,33.6,498(+4),,,ダンスディレクター,
2016/01/09,1京都2,晴,11,淀短距離S(OP),,10,3,3,3.1,2,2,Ｍ．デム,58,芝1200,良,**,1:07.9,0.1,**,5-5,34.5-33.3,33.0,494(-2),,,ローレルベローチェ,926.4
2015/11/29,5京都9,曇,12,京阪杯(G3),,15,5,9,20.6,5,3,アッゼニ,56,芝1200,良,**,1:08.0,0.6,**,10-10,34.0-33.4,33.2,496(0),,,サトノルパン,959.0
2015/11/08,5京都2,小雨,10,京洛S(OP),,17,7,14,11.6,6,2,小牧太,57,芝1200,重,**,1:09.5,0.6,**,14-13,34.1-34.8,34.0,496(+2),,,ネロ,890.8
2015/08/02,2新潟2,晴,11,アイビスサマーD(G3),,14,7,12,7.7,4,3,丸田恭介,56,芝1000,良,**,0:54.4,0.3,**,,32.5-32.0,31.8,494(+4),,,ベルカント,957.4
2015/06/21,1函館2,晴,11,函館スプリントS(G3),,16,8,16,78.7,14,2,丸田恭介,56,芝1200,良,**,1:08.7,0.4,**,14-14,33.0-35.3,34.7,490(-10),,,ティーハーフ,"1,516.0"
