
2016/09/11,4阪神2,晴,11,セントウルS(G2),,13,6,9,245.0,13,13,松山弘平,56,芝1200,良,**,1:08.5,0.9,**,8-8,33.1-34.5,34.3,470(-6),,,ビッグアーサー,
2016/08/21,2小倉8,晴,11,TV西日本北九州記念(G3),,12,5,6,28.6,9,7,バルジュ,54,芝1200,良,**,1:09.1,0.6,**,10-11,33.6-34.9,34.9,476(0),,,バクシンテイオー,
2016/07/03,3中京2,曇,11,CBC賞(G3),,13,4,4,27.1,9,12,秋山真一,54,芝1200,良,**,1:08.0,0.8,**,7-6,33.8-33.4,33.7,476(0),,,レッドファルクス,
2016/05/08,3京都6,晴,11,鞍馬S(OP),,18,3,5,12.9,5,3,秋山真一,54,芝1200,良,**,1:07.8,0.3,**,7-7,33.6-33.9,33.6,476(-4),,,セカンドテーブル,585.6
2015/12/26,5阪神7,晴,11,阪神C(G2),,17,5,9,189.1,15,13,幸英明,57,芝1400,稍,**,1:22.5,1.1,**,7-8,34.8-34.8,35.4,480(+2),,,ロサギガンティア,
2015/12/12,5中山3,晴,11,ラピスラズリS(OP),,14,6,9,17.6,5,6,田辺裕信,56,芝1200,良,**,1:08.3,0.4,**,12-12,33.4-34.5,33.5,478(+2),,,ネロ,
2015/11/15,5東京4,晴,11,オーロC(OP),,18,4,7,42.8,12,4,田中勝春,54,芝1400,稍,**,1:22.0,0.3,**,2-2,35.5-34.3,34.4,476(+2),,,ロサギガンティア,330.0
2015/09/05,2小倉11,曇,11,北九州短距離S(1600万下),,11,8,11,5.5,3,1,武豊,55,芝1200,良,**,1:07.8,-0.1,**,3-3,34.1-33.7,33.3,474(-12),,,(アットウィル),"1,844.5"
2015/08/15,2新潟5,晴,11,新潟日報賞(1600万下),,18,1,2,22.2,11,11,石川裕紀,55,芝1400,良,**,1:20.7,0.5,**,7-7,34.6-34.3,34.1,486(-2),,,ゼウス,
2015/07/11,3中京3,晴,11,豊明S(1600万下),,18,1,2,27.5,9,7,秋山真一,55,芝1400,良,**,1:21.9,0.6,**,11-11,33.7-35.9,35.8,488(+10),,,ゴールドベル,
2015/05/03,3京都4,晴,8,鷹ケ峰特別(1000万下),,13,1,1,7.4,4,1,武豊,57,芝1400,良,**,1:20.7,-0.2,**,3-3,35.3-33.7,33.4,478(+2),,,(ドラゴンストリート),"1,529.4"
2015/03/14,1阪神5,晴,12,4歳上1000万下,,14,3,4,4.5,2,4,藤岡康太,57,芝1400,良,**,1:22.6,0.4,**,9-9,34.6-36.1,35.6,476(-4),,,ラインハート,160.0
2015/03/01,1小倉8,曇,12,周防灘特別(1000万下),,18,2,3,7.4,3,6,勝浦正樹,54,芝1200,重,**,1:10.2,0.6,**,16-17,34.3-35.3,34.8,480(-4),,,ヤマニンマルキーザ,
2015/02/08,1小倉2,曇,8,4歳上500万下,,18,6,11,3.5,1,1,藤岡康太,57,芝1200,良,**,1:08.0,-0.2,**,13-8,33.3-34.7,33.6,484(+6),,,(オールパーパス),700.0
2014/09/07,2札幌6,晴,7,3歳上500万下,,16,3,6,4.2,2,5,藤岡康太,57,芝1200,良,**,1:10.8,0.5,**,9-9,34.5-35.8,35.6,478(+4),,,タカミツスズラン,73.0
2014/08/24,2札幌2,晴,8,3歳上500万下,,16,2,3,3.9,1,2,藤岡康太,57,芝1200,良,**,1:09.7,0.1,**,3-2,34.7-34.9,34.8,474(-8),,,ブルジュオン,290.0
2014/08/10,1札幌6,晴,7,3歳上500万下,,14,6,9,8.4,4,5,藤岡康太,57,芝1500,良,**,1:29.2,0.7,**,4-5-4,29.6-35.1,35.3,482(+6),,,ピクシーホロウ,73.0
