
2016/09/11,4阪神2,晴,11,セントウルS(G2),,13,1,1,2.1,1,1,福永祐一,58,芝1200,良,**,1:07.6,-0.2,**,1-1,33.1-34.5,34.5,524(+4),,,(ネロ),"5,992.4"
2016/03/27,2中京6,曇,11,高松宮記念(G1),,18,2,4,3.9,1,1,福永祐一,57,芝1200,良,**,1:06.7,-0.1,**,4-4,32.7-34.0,33.4,520(-4),,,(ミッキーアイル),"10,182.2"
2016/01/31,2京都2,晴,11,シルクロードS(G3),,16,8,16,2.1,1,5,Ｍ．デム,57,芝1200,稍,**,1:08.5,0.6,**,9-10,33.7-34.2,33.4,524(+2),,,ダンスディレクター,390.0
2015/12/26,5阪神7,晴,11,阪神C(G2),,17,1,1,2.7,1,3,藤岡康太,57,芝1400,稍,**,1:21.6,0.2,**,4-4,34.8-34.8,34.6,522(0),,,ロサギガンティア,"1,617.6"
2015/11/29,5京都9,曇,12,京阪杯(G3),,15,3,4,1.5,1,2,藤岡康太,56,芝1200,良,**,1:07.4,0.0,**,7-7,34.0-33.4,32.8,522(0),,,サトノルパン,"1,518.0"
2015/10/11,4京都2,曇,11,夕刊フジ杯オパールS(OP),,16,2,4,1.7,1,1,藤岡康太,57,芝1200,良,**,1:06.7,-0.5,**,6-4,32.9-33.8,33.2,522(-6),,,(マコトナワラタナ),"2,235.7"
2015/08/23,2小倉8,晴,11,TV西日本北九州記念(G3),,18,3,5,2.5,1,2,藤岡康太,55,芝1200,良,**,1:07.5,0.2,**,10-8,32.7-34.6,33.4,528(+2),,,ベルカント,"1,518.4"
2015/06/20,3阪神5,曇,10,水無月S(1600万下),,13,5,7,1.3,1,1,藤岡康太,57,芝1200,良,**,1:08.1,0.0,**,6-5,34.2-33.9,33.4,526(+6),,,(フォーエバーモア),"1,849.4"
2015/04/11,2阪神5,晴,10,淀屋橋S(1600万下),,12,6,8,1.4,1,1,浜中俊,57,芝1200,稍,**,1:09.3,0.0,**,7-6,34.0-35.3,34.7,520(-4),,,(エポワス),"1,847.3"
2015/03/29,2中京6,雨,9,岡崎特別(1000万下),,18,7,14,2.1,1,1,藤岡康太,56,芝1200,稍,**,1:08.6,-0.3,**,6-8,33.5-35.1,33.9,524(+4),,,(ティーハーフ),"1,362.0"
2015/02/28,1小倉7,曇,12,八代特別(500万下),,18,8,17,4.6,1,1,藤岡康太,57,芝1200,良,**,1:07.9,-0.4,**,2-2,33.3-34.6,34.3,520(+2),,,(ヤマノハヤブサ),968.1
2014/04/13,1福島2,晴,6,3歳未勝利,,16,8,16,8.3,4,1,藤岡康太,56,芝1200,良,**,1:09.5,-0.4,**,5-3,33.8-35.7,35.3,518(0),,,(クラウンアイリス),500.0
