単勝,6,610,3
複勝,6 14 2,240 430 490,3 7 8
枠連,3 - 7,"1,720",9
馬連,6 - 14,"5,740",23
ワイド,6 - 14 2 - 6 2 - 14,"1,910 1,980 3,490",24 25 41
馬単,6 → 14,"10,120",41
三連複,2 - 6 - 14,"33,340",102
