単勝,8,940,5
複勝,8 6 5,330 640 300,5 9 4
枠連,3 - 4,"1,280",6
馬連,6 - 8,"11,750",39
ワイド,6 - 8 5 - 8 5 - 6,"3,350 1,340 2,310",40 11 26
馬単,8 → 6,"16,230",54
三連複,5 - 6 - 8,"24,040",75
三連単,8 → 6 → 5,"134,970",397
