単勝,5,920,6
複勝,5 8 16,320 250 540,6 4 9
枠連,3 - 4,"4,530",23
馬連,5 - 8,"3,910",22
ワイド,5 - 8 5 - 16 8 - 16,"1,210 3,110 2,060",18 35 29
馬単,5 → 8,"7,110",38
三連複,5 - 8 - 16,"22,660",71
三連単,5 → 8 → 16,"131,420",421
