単勝,1,590,2
複勝,1 4 11,210 170 680,4 1 10
枠連,1 - 3,"1,050",3
馬連,1 - 4,"1,240",2
ワイド,1 - 4 1 - 11 4 - 11,"500 2,480 2,240",1 31 26
馬単,1 → 4,"2,540",3
三連複,1 - 4 - 11,"12,740",41
