単勝,4,"6,530",10
複勝,4 9 8,"1,380 390 360",10 8 7
枠連,3 - 6,800,2
馬連,4 - 9,"20,450",43
ワイド,4 - 9 4 - 8 8 - 9,"4,570 5,610 1,670",43 46 27
馬単,4 → 9,"58,620",94
三連複,4 - 8 - 9,"58,340",121
三連単,4 → 9 → 8,"558,010",870
