単勝,3,910,6
複勝,3 6 4,"380 530 1,120",6 9 13
枠連,2 - 3,"5,800",23
馬連,3 - 6,"6,810",33
ワイド,3 - 6 3 - 4 4 - 6,"2,020 4,570 8,220",29 62 81
馬単,3 → 6,"12,150",58
三連複,3 - 4 - 6,"81,140",245
三連単,3 → 6 → 4,"384,550",1265
