単勝,5,820,5
複勝,5 9 3,290 590 200,5 8 2
枠連,5 - 7,"3,360",17
馬連,5 - 9,"10,880",38
ワイド,5 - 9 3 - 5 3 - 9,"2,490 780 1,480",37 9 21
馬単,5 → 9,"18,420",67
三連複,3 - 5 - 9,"13,790",56
三連単,5 → 9 → 3,"102,850",384
