単勝,1,"1,470",7
複勝,1 7 9,520 470 510,10 8 9
枠連,1 - 4,"5,310",20
馬連,1 - 7,"11,490",43
ワイド,1 - 7 1 - 9 7 - 9,"3,840 3,690 3,220",47 45 42
馬単,1 → 7,"21,560",87
三連複,1 - 7 - 9,"49,950",175
三連単,1 → 7 → 9,"313,130",1045
