単勝,11,"4,910",16
複勝,11 7 5,"1,100 240 870",16 2 13
枠連,4 - 6,"4,890",23
馬連,7 - 11,"14,720",49
ワイド,7 - 11 5 - 11 5 - 7,"3,940 11,730 2,510",44 119 28
馬単,11 → 7,"41,000",140
三連複,5 - 7 - 11,"119,080",333
三連単,11 → 7 → 5,"1,028,690",2344
