単勝,18,540,2
複勝,18 7 9,200 640 710,2 10 12
枠連,4 - 8,"1,910",10
馬連,7 - 18,"6,620",24
ワイド,7 - 18 9 - 18 7 - 9,"2,040 2,310 5,780",22 25 63
馬単,18 → 7,"11,590",38
三連複,7 - 9 - 18,"53,580",150
三連単,18 → 7 → 9,"277,430",783
