単勝,6,630,3
複勝,6 10 1,240 260 260,3 5 4
枠連,5 - 7,"1,800",7
馬連,6 - 10,"2,650",12
ワイド,6 - 10 1 - 6 1 - 10,"920 1,030 1,170",10 13 18
馬単,6 → 10,"5,170",21
三連複,1 - 6 - 10,"9,290",39
三連単,6 → 10 → 1,"49,940",192
