単勝,5,310,1
複勝,5 2 1,150 440 200,1 8 3
枠連,2 - 5,"3,430",16
馬連,2 - 5,"3,500",17
ワイド,2 - 5 1 - 5 1 - 2,"1,130 400 1,950",14 2 29
